0,1,2,3,4,5,6,7,8,9,10
0.0,137.0,88.0,44.0,45.0,41.0,108.0,73.0,287.0,122.0,62.0
40.0,0.0,135.0,157.0,158.0,153.0,216.0,120.0,186.0,235.0,170.0
15.0,111.0,0.0,108.0,108.0,104.0,166.0,93.0,154.0,186.0,121.0
67.0,132.0,107.0,0.0,106.0,102.0,135.0,109.0,158.0,175.0,111.0
40.0,106.0,80.0,79.0,0.0,75.0,137.0,83.0,131.0,156.0,91.0
60.0,125.0,100.0,98.0,99.0,0.0,157.0,102.0,151.0,176.0,111.0
190.0,261.0,235.0,227.0,234.0,230.0,0.0,238.0,286.0,305.0,240.0
18.0,78.0,75.0,92.0,93.0,88.0,151.0,0.0,128.0,170.0,105.0
66.0,310.0,302.0,306.0,307.0,303.0,365.0,294.0,0.0,384.0,319.0
143.0,209.0,183.0,175.0,182.0,178.0,211.0,186.0,234.0,0.0,187.0
79.0,149.0,124.0,116.0,123.0,119.0,152.0,127.0,175.0,192.0,0.0
