0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.0,137.0,88.0,44.0,45.0,41.0,108.0,73.0,287.0,122.0,62.0,57.0,40.0,67.0,44.0,149.0,262.0,218.0,71.0,206.0,52.0,108.0,44.0,163.0,72.0,72.0,121.0,78.0,142.0,173.0,67.0
40.0,0.0,135.0,157.0,158.0,153.0,216.0,120.0,186.0,235.0,170.0,169.0,165.0,165.0,157.0,261.0,184.0,157.0,183.0,303.0,165.0,216.0,157.0,145.0,161.0,179.0,234.0,191.0,254.0,286.0,179.0
15.0,111.0,0.0,108.0,108.0,104.0,166.0,93.0,154.0,186.0,121.0,120.0,116.0,116.0,108.0,212.0,156.0,144.0,134.0,254.0,116.0,166.0,108.0,111.0,133.0,130.0,185.0,142.0,205.0,236.0,130.0
67.0,132.0,107.0,0.0,106.0,102.0,135.0,109.0,158.0,175.0,111.0,118.0,81.0,98.0,105.0,179.0,160.0,150.0,108.0,252.0,113.0,132.0,98.0,115.0,137.0,120.0,182.0,118.0,178.0,208.0,121.0
40.0,106.0,80.0,79.0,0.0,75.0,137.0,83.0,131.0,156.0,91.0,57.0,87.0,87.0,79.0,183.0,133.0,123.0,105.0,197.0,87.0,137.0,79.0,88.0,110.0,101.0,147.0,112.0,176.0,207.0,101.0
60.0,125.0,100.0,98.0,99.0,0.0,157.0,102.0,151.0,176.0,111.0,111.0,107.0,106.0,91.0,203.0,153.0,143.0,124.0,245.0,106.0,157.0,98.0,108.0,130.0,120.0,175.0,132.0,195.0,227.0,120.0
190.0,261.0,235.0,227.0,234.0,230.0,0.0,238.0,286.0,305.0,240.0,246.0,205.0,203.0,234.0,96.0,288.0,278.0,231.0,380.0,242.0,145.0,227.0,243.0,265.0,250.0,311.0,244.0,148.0,152.0,233.0
18.0,78.0,75.0,92.0,93.0,88.0,151.0,0.0,128.0,170.0,105.0,105.0,101.0,100.0,92.0,197.0,128.0,109.0,118.0,239.0,100.0,151.0,92.0,84.0,104.0,114.0,169.0,126.0,189.0,221.0,114.0
66.0,310.0,302.0,306.0,307.0,303.0,365.0,294.0,0.0,384.0,319.0,319.0,315.0,314.0,306.0,411.0,230.0,262.0,333.0,453.0,314.0,365.0,306.0,265.0,245.0,329.0,383.0,340.0,404.0,435.0,329.0
143.0,209.0,183.0,175.0,182.0,178.0,211.0,186.0,234.0,0.0,187.0,194.0,158.0,175.0,182.0,256.0,236.0,226.0,184.0,328.0,190.0,208.0,175.0,191.0,213.0,196.0,259.0,195.0,254.0,285.0,197.0
79.0,149.0,124.0,116.0,123.0,119.0,152.0,127.0,175.0,192.0,0.0,135.0,98.0,116.0,122.0,197.0,177.0,167.0,125.0,269.0,130.0,149.0,116.0,132.0,154.0,137.0,199.0,136.0,195.0,225.0,138.0
52.0,118.0,93.0,91.0,57.0,87.0,150.0,95.0,143.0,169.0,104.0,0.0,99.0,99.0,91.0,195.0,146.0,135.0,117.0,209.0,99.0,149.0,91.0,101.0,122.0,113.0,159.0,125.0,188.0,220.0,113.0
22.0,31.0,36.0,53.0,54.0,50.0,112.0,17.0,86.0,131.0,66.0,66.0,0.0,61.0,53.0,158.0,86.0,65.0,80.0,200.0,61.0,112.0,53.0,43.0,62.0,76.0,131.0,87.0,151.0,182.0,76.0
67.0,147.0,122.0,113.0,121.0,117.0,150.0,124.0,173.0,190.0,126.0,133.0,96.0,0.0,120.0,194.0,175.0,165.0,123.0,267.0,128.0,147.0,113.0,130.0,152.0,135.0,197.0,133.0,193.0,223.0,136.0
67.0,132.0,107.0,105.0,106.0,91.0,164.0,109.0,158.0,183.0,118.0,118.0,114.0,113.0,0.0,210.0,160.0,150.0,132.0,252.0,113.0,164.0,105.0,115.0,137.0,127.0,182.0,139.0,203.0,234.0,128.0
148.0,213.0,188.0,179.0,187.0,183.0,216.0,191.0,239.0,256.0,192.0,199.0,162.0,179.0,186.0,0.0,241.0,231.0,189.0,333.0,194.0,213.0,179.0,196.0,218.0,201.0,263.0,200.0,259.0,289.0,202.0
68.0,281.0,277.0,282.0,282.0,278.0,340.0,267.0,203.0,359.0,294.0,294.0,290.0,290.0,282.0,386.0,0.0,228.0,308.0,428.0,290.0,340.0,282.0,239.0,218.0,304.0,359.0,315.0,379.0,410.0,304.0
58.0,220.0,231.0,237.0,238.0,234.0,296.0,214.0,201.0,315.0,250.0,250.0,246.0,245.0,237.0,342.0,194.0,0.0,264.0,384.0,245.0,296.0,237.0,197.0,186.0,260.0,314.0,271.0,335.0,366.0,260.0
76.0,142.0,117.0,108.0,115.0,111.0,144.0,119.0,167.0,184.0,120.0,127.0,91.0,108.0,115.0,189.0,169.0,159.0,0.0,261.0,123.0,142.0,108.0,125.0,146.0,129.0,192.0,128.0,187.0,218.0,130.0
194.0,274.0,249.0,247.0,218.0,244.0,306.0,252.0,300.0,325.0,260.0,207.0,256.0,255.0,247.0,352.0,302.0,292.0,274.0,0.0,255.0,306.0,247.0,257.0,279.0,270.0,318.0,281.0,345.0,376.0,270.0
67.0,132.0,107.0,105.0,106.0,102.0,164.0,109.0,158.0,183.0,118.0,118.0,114.0,113.0,105.0,210.0,160.0,150.0,132.0,252.0,0.0,164.0,105.0,115.0,137.0,127.0,182.0,139.0,203.0,234.0,128.0
117.0,187.0,162.0,154.0,161.0,157.0,69.0,165.0,213.0,232.0,167.0,173.0,134.0,129.0,160.0,115.0,215.0,205.0,163.0,307.0,168.0,0.0,154.0,170.0,192.0,176.0,237.0,175.0,120.0,146.0,160.0
67.0,132.0,107.0,98.0,106.0,102.0,135.0,109.0,158.0,175.0,111.0,118.0,81.0,98.0,105.0,179.0,160.0,150.0,108.0,252.0,113.0,132.0,0.0,115.0,137.0,120.0,182.0,118.0,178.0,208.0,121.0
23.0,188.0,178.0,183.0,183.0,179.0,241.0,169.0,184.0,261.0,195.0,195.0,191.0,191.0,183.0,287.0,185.0,177.0,209.0,329.0,191.0,241.0,183.0,0.0,162.0,205.0,260.0,217.0,280.0,311.0,205.0
91.0,159.0,134.0,125.0,132.0,128.0,161.0,136.0,184.0,201.0,137.0,144.0,108.0,125.0,132.0,206.0,186.0,176.0,134.0,278.0,140.0,158.0,125.0,142.0,0.0,146.0,209.0,145.0,204.0,235.0,147.0
88.0,159.0,134.0,125.0,132.0,128.0,161.0,136.0,184.0,201.0,137.0,144.0,108.0,125.0,132.0,206.0,186.0,176.0,134.0,278.0,140.0,158.0,125.0,142.0,163.0,0.0,209.0,145.0,204.0,235.0,147.0
